オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス
201901010005-1,2019-01-01,C00002159,TB-BUNN,1,9800,2019-01-01,,配達済み
201901010001-1,2019-01-01,C00000112,TO-AUNN,1,2280,2019-01-04,,配達済み
201901010005-2,2019-01-01,C00002159,PA-BMBS,1,20000,2019-01-02,,配達済み
201901010004-1,2019-01-01,C00001710,BP-BUNN,1,9800,2019-01-01,,配達済み
201901020019-2,2019-01-02,C00001925,PA-AMBL,1,16500,2019-01-07,,配達済み
201901020016-1,2019-01-02,C00001884,BP-AUNN,1,10200,2019-01-07,,配達済み
201901020004-1,2019-01-02,C00000906,TS-BWBM,1,7600,2019-01-10,,配達済み
201901020003-1,2019-01-02,C00000803,PA-CMWL,1,14300,2019-01-07,,配達済み
201901020010-2,2019-01-02,C00001083,NI-BMBS,1,14500,2019-01-05,,配達済み
201901020010-1,2019-01-02,C00001083,HC-BUNN,1,980,2019-01-07,,配達済み
201901020009-1,2019-01-02,C00001079,PA-CMBM,1,14300,2019-01-05,,配達済み
201901020011-1,2019-01-02,C00001670,TS-AMGL,1,7900,2019-01-06,,配達済み
201901020015-1,2019-01-02,C00001743,NI-AMWM,1,10000,2019-01-04,,配達済み
201901020019-1,2019-01-02,C00001925,PA-CMGS,1,14300,2019-01-07,,配達済み
201901020019-3,2019-01-02,C00001925,SW-BMGL,1,15900,2019-01-06,,配達済み
201901020002-1,2019-01-02,C00000525,NI-CWGS,1,12400,2019-01-04,,配達済み
201901020000-1,2019-01-02,C00000469,SK-BWWS,1,14100,2019-01-04,,配達済み
201901040000-1,2019-01-04,C00000524,CT-AMGS,1,39600,2019-01-06,,配達済み
201901050011-1,2019-01-05,C00000945,TS-BWBL,1,7600,2019-01-08,,配達済み
201901050007-1,2019-01-05,C00000845,SW-BMGM,1,15900,2019-01-07,,配達済み
201901050021-1,2019-01-05,C00001767,NI-BMWS,1,14500,2019-01-08,,配達済み
201901050023-1,2019-01-05,C00001807,PA-CMWM,1,14300,2019-01-09,,配達済み
201901050009-1,2019-01-05,C00000871,PA-BWGM,1,19800,2019-01-09,,配達済み
201901050004-2,2019-01-05,C00000632,HC-BUNN,1,980,2019-01-08,,配達済み
201901050016-1,2019-01-05,C00001373,HC-BUNN,1,980,2019-01-06,,配達済み
201901050018-1,2019-01-05,C00001432,SW-CMGS,1,18400,2019-01-07,,配達済み
201901050004-1,2019-01-05,C00000632,SW-BMBS,1,15900,2019-01-07,,配達済み
