顧客ID,売上_バッグ,購買回数_バッグ,売上_小物,購買回数_小物,売上_ボトムス,購買回数_ボトムス,売上_トップス,購買回数_トップス,売上_アウター,購買回数_アウター,group
C00000001,0.0,0.0,1200.0,1.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000002,0.0,0.0,3480.0,2.0,52200.0,3.0,67600.0,4.0,0.0,0.0,3
C00000003,0.0,0.0,10560.0,1.0,0.0,0.0,0.0,0.0,39600.0,1.0,0
C00000004,6800.0,1.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
C00000005,18600.0,2.0,0.0,0.0,45100.0,2.0,0.0,0.0,19800.0,1.0,0
C00000006,10200.0,1.0,0.0,0.0,50500.0,2.0,0.0,0.0,0.0,0.0,3
C00000007,12900.0,1.0,0.0,0.0,20000.0,1.0,15900.0,1.0,0.0,0.0,3
C00000008,0.0,0.0,2280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
C00000009,22700.0,2.0,6320.0,2.0,98900.0,4.0,123800.0,6.0,41200.0,1.0,2
C00000010,9800.0,1.0,0.0,0.0,0.0,0.0,16500.0,2.0,52000.0,2.0,0
C00000011,0.0,0.0,4800.0,1.0,18100.0,1.0,71400.0,3.0,0.0,0.0,3
C00000012,0.0,0.0,9920.0,2.0,0.0,0.0,21300.0,2.0,21000.0,1.0,0
C00000013,0.0,0.0,5280.0,1.0,49500.0,2.0,0.0,0.0,19800.0,1.0,0
C00000014,9800.0,1.0,0.0,0.0,52200.0,3.0,0.0,0.0,18900.0,1.0,0
C00000015,0.0,0.0,5280.0,1.0,0.0,0.0,44100.0,2.0,0.0,0.0,3
C00000016,0.0,0.0,1200.0,1.0,34300.0,2.0,15900.0,1.0,0.0,0.0,3
C00000017,41160.0,3.0,4360.0,3.0,16500.0,1.0,18400.0,1.0,0.0,0.0,1
C00000018,0.0,0.0,0.0,0.0,100300.0,3.0,14500.0,1.0,38900.0,1.0,0
C00000019,5890.0,1.0,2280.0,1.0,14300.0,1.0,108600.0,3.0,0.0,0.0,3
C00000020,0.0,0.0,2180.0,1.0,14300.0,1.0,12300.0,1.0,0.0,0.0,3
C00000021,0.0,0.0,2280.0,1.0,54300.0,2.0,73000.0,3.0,0.0,0.0,3
C00000022,6800.0,1.0,980.0,1.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000023,0.0,0.0,22480.0,2.0,138400.0,4.0,85400.0,4.0,0.0,0.0,2
C00000024,0.0,0.0,980.0,1.0,68600.0,3.0,10000.0,1.0,0.0,0.0,3
C00000025,0.0,0.0,0.0,0.0,7600.0,1.0,26000.0,2.0,0.0,0.0,3
C00000026,0.0,0.0,4800.0,1.0,37900.0,2.0,0.0,0.0,0.0,0.0,3
C00000027,19000.0,2.0,0.0,0.0,16500.0,1.0,74000.0,3.0,0.0,0.0,1
C00000028,29290.0,3.0,2180.0,2.0,194800.0,7.0,30000.0,3.0,39600.0,1.0,2
C00000029,0.0,0.0,980.0,1.0,20000.0,1.0,34800.0,1.0,0.0,0.0,3
C00000030,26400.0,3.0,4460.0,3.0,131800.0,7.0,30000.0,2.0,35200.0,1.0,2
C00000031,0.0,0.0,1200.0,1.0,16500.0,1.0,14500.0,1.0,30800.0,1.0,0
C00000032,0.0,0.0,1960.0,1.0,59400.0,1.0,62300.0,2.0,0.0,0.0,3
C00000033,28590.0,3.0,4360.0,2.0,30800.0,2.0,0.0,0.0,0.0,0.0,1
C00000034,28500.0,2.0,7560.0,3.0,173700.0,6.0,28200.0,3.0,0.0,0.0,2
C00000035,0.0,0.0,0.0,0.0,57700.0,2.0,26000.0,2.0,62900.0,2.0,0
C00000036,26400.0,3.0,1200.0,1.0,28600.0,1.0,106100.0,3.0,0.0,0.0,1
C00000037,41000.0,2.0,0.0,0.0,57700.0,3.0,0.0,0.0,0.0,0.0,1
C00000038,0.0,0.0,19200.0,1.0,53000.0,3.0,52400.0,3.0,19400.0,1.0,2
C00000039,10200.0,1.0,10900.0,2.0,19800.0,1.0,24800.0,2.0,0.0,0.0,3
C00000040,17600.0,1.0,0.0,0.0,16500.0,1.0,0.0,0.0,92400.0,1.0,0
C00000041,10200.0,1.0,980.0,1.0,130900.0,4.0,41800.0,3.0,0.0,0.0,2
C00000042,0.0,0.0,4800.0,1.0,0.0,0.0,38000.0,3.0,0.0,0.0,3
C00000043,23490.0,3.0,1200.0,1.0,51700.0,3.0,40600.0,4.0,91300.0,3.0,2
C00000044,6800.0,1.0,0.0,0.0,50500.0,3.0,0.0,0.0,0.0,0.0,3
C00000045,0.0,0.0,12480.0,3.0,77500.0,3.0,31600.0,3.0,0.0,0.0,2
C00000046,0.0,0.0,0.0,0.0,20000.0,1.0,26000.0,2.0,0.0,0.0,3
C00000047,5890.0,1.0,24100.0,5.0,46700.0,3.0,84800.0,4.0,22100.0,1.0,2
C00000048,5890.0,1.0,1200.0,1.0,131300.0,3.0,7600.0,1.0,0.0,0.0,3
C00000049,0.0,0.0,0.0,0.0,145600.0,5.0,94600.0,6.0,31000.0,1.0,2
C00000050,0.0,0.0,5280.0,1.0,20000.0,1.0,14500.0,1.0,0.0,0.0,3
C00000051,0.0,0.0,0.0,0.0,36500.0,2.0,0.0,0.0,0.0,0.0,3
C00000052,17000.0,2.0,0.0,0.0,18100.0,1.0,0.0,0.0,43100.0,2.0,0
C00000053,18790.0,2.0,0.0,0.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000054,6800.0,1.0,0.0,0.0,40000.0,2.0,0.0,0.0,0.0,0.0,3
C00000055,0.0,0.0,0.0,0.0,30800.0,2.0,7900.0,1.0,0.0,0.0,3
C00000056,20400.0,1.0,4800.0,1.0,19800.0,1.0,0.0,0.0,0.0,0.0,3
C00000057,12900.0,1.0,0.0,0.0,19800.0,1.0,17600.0,1.0,0.0,0.0,3
C00000058,26400.0,1.0,0.0,0.0,14300.0,1.0,7900.0,1.0,0.0,0.0,3
C00000059,0.0,0.0,12840.0,2.0,100600.0,4.0,39400.0,2.0,0.0,0.0,2
C00000060,0.0,0.0,11280.0,3.0,19800.0,1.0,8900.0,1.0,35200.0,1.0,0
C00000061,17000.0,2.0,7560.0,2.0,50500.0,3.0,0.0,0.0,31000.0,1.0,1
C00000062,6800.0,1.0,4800.0,1.0,56500.0,2.0,8700.0,1.0,0.0,0.0,3
C00000063,0.0,0.0,0.0,0.0,0.0,0.0,140800.0,8.0,21000.0,1.0,0
C00000064,5890.0,1.0,0.0,0.0,16500.0,1.0,0.0,0.0,0.0,0.0,3
C00000065,0.0,0.0,0.0,0.0,14300.0,1.0,34400.0,2.0,30800.0,1.0,0
C00000066,31290.0,4.0,980.0,1.0,108900.0,4.0,17400.0,2.0,31000.0,1.0,1
C00000067,0.0,0.0,0.0,0.0,86000.0,3.0,22800.0,2.0,0.0,0.0,3
C00000068,17600.0,1.0,11760.0,3.0,48400.0,3.0,109500.0,5.0,31000.0,1.0,2
C00000069,0.0,0.0,3160.0,2.0,117100.0,3.0,61200.0,4.0,0.0,0.0,2
C00000070,20400.0,1.0,2940.0,1.0,0.0,0.0,0.0,0.0,30800.0,1.0,0
C00000071,31200.0,3.0,12840.0,2.0,49800.0,4.0,42200.0,3.0,0.0,0.0,1
C00000072,6800.0,1.0,4560.0,1.0,0.0,0.0,37000.0,3.0,103700.0,3.0,0
C00000073,43500.0,2.0,4800.0,1.0,52200.0,3.0,112300.0,7.0,18900.0,1.0,2
C00000074,0.0,0.0,0.0,0.0,20000.0,1.0,31800.0,1.0,31900.0,1.0,0
C00000075,16600.0,2.0,0.0,0.0,42900.0,1.0,12300.0,1.0,0.0,0.0,3
C00000076,0.0,0.0,5780.0,2.0,0.0,0.0,7900.0,1.0,0.0,0.0,3
C00000077,0.0,0.0,5280.0,1.0,0.0,0.0,26500.0,2.0,101300.0,2.0,0
C00000078,63090.0,6.0,2180.0,2.0,84100.0,4.0,73200.0,5.0,0.0,0.0,1
C00000079,9800.0,1.0,6540.0,3.0,33000.0,1.0,0.0,0.0,0.0,0.0,3
C00000080,7800.0,1.0,5280.0,1.0,0.0,0.0,15900.0,1.0,19400.0,1.0,0
C00000081,0.0,0.0,0.0,0.0,36200.0,2.0,0.0,0.0,0.0,0.0,3
C00000082,12900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95400.0,2.0,0
C00000083,0.0,0.0,2180.0,1.0,40000.0,2.0,15900.0,1.0,38900.0,1.0,0
C00000084,7800.0,1.0,4800.0,1.0,112200.0,7.0,7900.0,1.0,84300.0,3.0,2
C00000085,9800.0,1.0,0.0,0.0,0.0,0.0,91500.0,3.0,0.0,0.0,3
C00000086,0.0,0.0,0.0,0.0,72400.0,1.0,42800.0,3.0,31000.0,1.0,0
C00000087,0.0,0.0,0.0,0.0,32400.0,2.0,0.0,0.0,16800.0,1.0,0
C00000088,23560.0,1.0,0.0,0.0,20000.0,1.0,7600.0,1.0,0.0,0.0,3
C00000089,0.0,0.0,16980.0,5.0,32400.0,2.0,51800.0,3.0,18900.0,1.0,2
C00000090,10200.0,1.0,0.0,0.0,20000.0,1.0,15900.0,1.0,0.0,0.0,3
C00000091,15600.0,2.0,2180.0,1.0,72400.0,1.0,15900.0,1.0,43500.0,1.0,0
C00000092,0.0,0.0,4560.0,1.0,37900.0,2.0,15900.0,1.0,0.0,0.0,3
C00000093,0.0,0.0,0.0,0.0,60000.0,1.0,10000.0,1.0,0.0,0.0,3
C00000094,0.0,0.0,5280.0,1.0,57700.0,2.0,71500.0,5.0,41200.0,1.0,2
C00000095,5890.0,1.0,0.0,0.0,146700.0,7.0,14500.0,1.0,0.0,0.0,2
C00000096,30500.0,3.0,0.0,0.0,36200.0,2.0,33800.0,3.0,21000.0,1.0,1
C00000097,0.0,0.0,0.0,0.0,0.0,0.0,62800.0,3.0,0.0,0.0,3
C00000098,0.0,0.0,0.0,0.0,40000.0,1.0,14500.0,1.0,0.0,0.0,3
C00000099,60400.0,2.0,3600.0,1.0,92700.0,5.0,32400.0,3.0,21000.0,1.0,1
C00000100,12690.0,2.0,980.0,1.0,32400.0,2.0,41300.0,4.0,35200.0,1.0,1
C00000101,9800.0,1.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,3
C00000102,0.0,0.0,0.0,0.0,20000.0,1.0,12300.0,1.0,0.0,0.0,3
C00000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1.0,0
C00000104,8800.0,1.0,3260.0,2.0,48400.0,3.0,35800.0,3.0,0.0,0.0,3
C00000105,7800.0,1.0,0.0,0.0,0.0,0.0,132100.0,3.0,16800.0,1.0,0
C00000106,5890.0,1.0,0.0,0.0,16500.0,1.0,21000.0,2.0,0.0,0.0,3
C00000107,20700.0,2.0,0.0,0.0,36500.0,2.0,23600.0,2.0,0.0,0.0,1
C00000108,0.0,0.0,1200.0,1.0,34300.0,2.0,0.0,0.0,0.0,0.0,3
C00000109,0.0,0.0,0.0,0.0,33000.0,2.0,18400.0,1.0,0.0,0.0,3
C00000110,30200.0,2.0,0.0,0.0,42900.0,1.0,0.0,0.0,0.0,0.0,1
C00000111,8800.0,1.0,2400.0,1.0,0.0,0.0,0.0,0.0,18000.0,1.0,0
C00000112,7800.0,1.0,5760.0,3.0,34100.0,2.0,27500.0,2.0,0.0,0.0,3
C00000113,12900.0,1.0,0.0,0.0,66000.0,1.0,25200.0,3.0,0.0,0.0,3
C00000114,27400.0,2.0,0.0,0.0,14300.0,1.0,63000.0,5.0,55700.0,3.0,0
C00000115,23400.0,2.0,6480.0,2.0,82900.0,3.0,36200.0,3.0,22100.0,1.0,2
C00000116,0.0,0.0,980.0,1.0,20000.0,1.0,81300.0,2.0,0.0,0.0,3
C00000117,0.0,0.0,2280.0,1.0,37900.0,2.0,17600.0,1.0,0.0,0.0,3
C00000118,12900.0,1.0,1960.0,2.0,43900.0,3.0,50600.0,4.0,0.0,0.0,3
C00000119,0.0,0.0,17800.0,4.0,42900.0,2.0,35400.0,3.0,18900.0,1.0,2
C00000120,10200.0,1.0,5280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
C00000121,21700.0,2.0,0.0,0.0,36500.0,2.0,0.0,0.0,0.0,0.0,1
C00000122,17600.0,2.0,0.0,0.0,79200.0,4.0,45900.0,3.0,75600.0,1.0,2
C00000123,6800.0,1.0,0.0,0.0,16500.0,1.0,15900.0,1.0,0.0,0.0,3
C00000124,0.0,0.0,5280.0,1.0,34300.0,2.0,40400.0,2.0,0.0,0.0,3
C00000125,7800.0,1.0,0.0,0.0,0.0,0.0,7600.0,1.0,19800.0,1.0,0
C00000126,0.0,0.0,19200.0,1.0,52200.0,3.0,34300.0,2.0,63800.0,1.0,2
C00000127,6800.0,1.0,2280.0,1.0,0.0,0.0,18600.0,2.0,58000.0,2.0,0
C00000128,0.0,0.0,0.0,0.0,33000.0,2.0,7600.0,1.0,0.0,0.0,3
C00000129,8800.0,1.0,980.0,1.0,33000.0,1.0,29600.0,2.0,35200.0,1.0,0
C00000130,0.0,0.0,4300.0,1.0,112100.0,5.0,37200.0,1.0,0.0,0.0,3
C00000131,12690.0,2.0,21120.0,1.0,36200.0,1.0,54500.0,3.0,41000.0,2.0,2
C00000132,5890.0,1.0,0.0,0.0,0.0,0.0,37700.0,2.0,19400.0,1.0,0
C00000133,0.0,0.0,0.0,0.0,40000.0,2.0,77900.0,5.0,39900.0,2.0,0
C00000134,28200.0,2.0,0.0,0.0,20000.0,1.0,24600.0,2.0,39600.0,1.0,1
C00000135,19600.0,1.0,13080.0,3.0,14300.0,1.0,70400.0,2.0,21000.0,1.0,2
